"De Castro O, Avino M, Di Maio A, Menale B, Guida M."
"Li S, Liu S, Chen W, Yuan Y, Gu R, Song Y, Li J, Cao Y, Lin Y, Xu J, Wang H, Ma D, Ma X, Sheng W, Huang G."
"Ding Y, Wang C, Li X, Jiang Y, Mei P, Huang W, Song G, Wang J, Ping G, Hu R, Miao C, He X, Chen G, Li H, Zhu Y, Zhang Z."
"Tonduti D, Panteghini C, Pichiecchio A, Decio A, Carecchio M, Reale C, Moroni I, Nardocci N, Campistol J, Garcia-Cazorla A, Perez Duenas B; Cerebral Calcification International Study Group., Chiapparini L, Garavaglia B, Orcesi S."
"Tang D, Huang Z, He X, Wu H, Peng D, Zhang L, Zhang X."
"Park SJ, Kim Y, Chen YM."
"Boysen G, Nava Rodrigues D, Rescigno P, Seed G, Dolling DI, Riisnaes R, Crespo M, Zafeiriou Z, Sumanasuriya S, Bianchini D, Hunt J, Moloney D, Perez-Lopez R, Tunariu N, Miranda S, Figueiredo I, Ferreira A, Christova R, Gil V, Aziz S, Bertan C, de Oliveira FM, et al."
"Zheng J, Guo J, Huang L, Wu Q, Yin K, Wang L, Zhang T, Quan L, Zhao Q, Cheng J."
"Wang Z, Cheng Y, An T, Gao H, Wang K, Zhou Q, Hu Y, Song Y, Ding C, Peng F, Liang L, Hu Y, Huang C, Zhou C, Shi Y, Zhang L, Ye X, Zhang M, Chuai S, Zhu G, Hu J, Wu YL, et al."
"Palandri F, Catani L, Bonifacio M, Benevolo G, Heidel F, Palumbo GA, Crugnola M, Abruzzese E, Bartoletti D, Polverelli N, Bergamaschi M, Tiribelli M, Iurlo A, Breccia M, Cavazzini F, Tieghi A, Binotto G, Isidori A, Martino B, D'Adda M, Bosi C, Sabattini E, et al."
"Savige J, Ariani F, Mari F, Bruttini M, Renieri A, Gross O, Deltas C, Flinter F, Ding J, Gale DP, Nagel M, Yau M, Shagam L, Torra R, Ars E, Hoefele J, Garosi G, Storey H."
"Nushtaeva AA, Stepanov GA, Semenov DV, Juravlev ES, Balahonova EA, Gerasimov AV, Sidorov SV, Savelyev EI, Kuligina EV, Richter VA, Koval OA."
"Lim HY, Merle P, Weiss KH, Yau T, Ross P, Mazzaferro V, Blanc JF, Ma YT, Yen CJ, Kocsis J, Choo SP, Sukeepaisarnjaroen W, G̩rolami R, Dufour JF, Gane EJ, Ryoo BY, Peck-Radosavljevic M, Dao T, Yeo W, Lamlertthon W, Thongsawat S, Teufel M, et al."
"Xu YP, Shi LP, Zhu J."
"Matey-Hernandez ML; Danish Pan Genome Consortium., Brunak S, Izarzugaza JMG."
